Size,Density,Number,Greedy_Value,Greedy_Time,GreedyRan_Value,GreedyRan_Time
1000,0.1,1,52, 2574275,51, 7044394
1000,0.1,2,48, 2226209,48, 10798743
1000,0.1,3,46, 2164469,48, 6661376
1000,0.1,4,49, 2245720,48, 6836631
1000,0.1,5,50, 2479972,50, 7294798
1000,0.1,6,49, 2273515,49, 6814695
1000,0.1,7,50, 2326961,52, 7018558
1000,0.1,8,50, 2275279,50, 7183839
1000,0.1,9,48, 2537765,48, 7012278
1000,0.1,10,49, 2365449,52, 7225687
1000,0.1,11,47, 2276174,47, 6474299
1000,0.1,12,49, 2354700,47, 7573585
1000,0.1,13,51, 3161306,53, 7220340
1000,0.1,14,48, 2390930,47, 7165197
1000,0.1,15,50, 2295441,51, 7692800
1000,0.1,16,50, 2327521,49, 6624091
1000,0.1,17,53, 2696384,51, 7296599
1000,0.1,18,48, 2306480,51, 7517480
1000,0.1,19,50, 3867861,48, 7258576
1000,0.1,20,51, 2473711,52, 6941170
1000,0.1,21,50, 2373156,49, 7152283
1000,0.1,22,46, 2224819,46, 6966726
1000,0.1,23,47, 2229055,47, 6841483
1000,0.1,24,47, 2225706,51, 6858268
1000,0.1,25,49, 3294002,46, 7292015
1000,0.1,26,47, 2396974,50, 7401183
1000,0.1,27,51, 2569682,52, 7619288
1000,0.1,28,45, 2259122,48, 7218455
1000,0.1,29,50, 2424847,49, 7097615
1000,0.1,30,51, 2516231,50, 10169313
1000,0.2,1,26, 1421387,27, 3884637
1000,0.2,2,28, 1545452,25, 5514829
1000,0.2,3,27, 1553492,26, 3910646
1000,0.2,4,29, 1469288,31, 3963297
1000,0.2,5,26, 1380311,26, 3623906
1000,0.2,6,26, 1373124,29, 5546905
1000,0.2,7,26, 1316185,26, 3741038
1000,0.2,8,27, 1475739,25, 5983937
1000,0.2,9,28, 1589037,27, 3729582
1000,0.2,10,27, 1454248,24, 3480086
1000,0.2,11,26, 1988438,28, 3893608
1000,0.2,12,26, 1408698,29, 3825881
1000,0.2,13,26, 1342564,26, 3591760
1000,0.2,14,27, 1444773,27, 3843296
1000,0.2,15,28, 1445508,29, 3865433
1000,0.2,16,26, 1353082,27, 4166711
1000,0.2,17,28, 1784763,24, 3754338
1000,0.2,18,26, 2749050,26, 4433825
1000,0.2,19,26, 1892178,27, 3890092
1000,0.2,20,29, 2004819,28, 4635877
1000,0.2,21,26, 1428015,27, 3642923
1000,0.2,22,27, 1941834,27, 4077821
1000,0.2,23,29, 1653693,27, 3846019
1000,0.2,24,29, 1989211,28, 3692347
1000,0.2,25,25, 1372748,31, 4208349
1000,0.2,26,26, 1336489,29, 4060880
1000,0.2,27,30, 2306377,30, 4096790
1000,0.2,28,27, 1458991,29, 4022457
1000,0.2,29,27, 1764180,27, 4258624
1000,0.2,30,27, 1546490,29, 6564103
