Size,Density,Greedy_Value,Greedy_Time,GreedyRan_Value,GreedyRan_Time,IterativeGreedy_Value,IterativeGreedy_Time
1000,0.1,49.03333333333333,2471123.8666666667,49.333333333333336,7342392.166666667,53.16666666666666,9989917132.966667
1000,0.2,27.03333333333333,1626338.8,27.366666666666667,4191666.566666667,29.4,9984149389.0
1000,0.3,17.933333333333334,1246366.8666666667,18.133333333333333,2970617.966666667,20.53333333333333,9984031677.466667
1000,0.4,13.366666666666667,920940.1666666666,13.166666666666666,2066140.3,15.366666666666667,9980602444.633331
1000,0.5,10.566666666666666,783416.1666666666,10.2,1591495.1666666667,12.266666666666667,9974979468.833334
1000,0.6,8.633333333333333,649449.0333333333,8.0,1376146.0,9.8,9970129532.366669
1000,0.7,6.633333333333334,576233.8,6.633333333333334,1190760.1666666667,7.966666666666667,9978508041.866669
1000,0.8,5.233333333333333,511905.8,5.333333333333333,1036411.5666666668,6.366666666666666,9966648153.666666
1000,0.9,3.933333333333333,399536.26666666666,4.066666666666666,864854.7666666667,5.066666666666666,9973058339.366669
2000,0.1,56.06666666666667,5718382.866666666,56.3,16010997.033333331,57.96666666666667,9964367551.4
2000,0.2,29.933333333333334,3665864.366666666,29.866666666666667,8104951.1,31.266666666666666,9949677461.4
2000,0.3,19.766666666666666,2403024.566666667,19.83333333333333,5671397.766666667,21.466666666666665,9931019164.666666
2000,0.4,14.633333333333333,1980496.933333333,14.333333333333334,4223337.933333334,15.733333333333333,9952318273.8
2000,0.5,11.1,1650392.1333333333,11.333333333333334,3313142.2,12.666666666666666,9904490743.0
2000,0.6,8.833333333333334,1485964.8666666667,8.9,2867082.7666666666,10.133333333333333,9899074041.2
2000,0.7,7.366666666666666,1336680.2,7.033333333333333,2589184.7333333334,8.066666666666666,9865592877.533333
2000,0.8,5.733333333333333,1007020.0666666668,5.466666666666667,1999138.9,6.466666666666667,9900589017.133331
2000,0.9,4.3,852115.4333333333,4.166666666666667,1736740.7666666666,4.966666666666667,9843847743.533333
3000,0.1,59.5,8694890.766666668,59.23333333333333,23989382.3,61.333333333333336,9891071399.5
3000,0.2,31.0,5090212.933333334,31.133333333333333,12402161.833333334,32.5,9854678135.666666
3000,0.3,20.73333333333333,4192346.7666666666,20.666666666666668,8416535.233333332,22.2,9830251997.4
3000,0.4,15.366666666666667,3664849.2666666666,14.9,7665421.366666666,16.333333333333332,9755303625.166666
3000,0.5,11.7,2649189.1,11.633333333333333,5435147.266666667,12.966666666666669,9840110036.633331
3000,0.6,9.166666666666666,2385756.0,9.266666666666667,4655180.4,10.166666666666666,9840630704.8
3000,0.7,7.433333333333334,2521804.3,7.6,4507764.433333334,8.233333333333333,9680956658.8
3000,0.8,5.833333333333333,2016467.4666666663,5.7,3442711.933333333,6.466666666666667,9780104375.5
3000,0.9,4.333333333333333,1254729.7,4.233333333333333,2779059.533333333,5.033333333333333,9695867640.9
