Size,Density,Number,IterativeGreedy_Value,IterativeGreedy_Time
1000,0.1,1,54,9993508029
1000,0.1,2,52,9980080927
1000,0.1,3,53,9999109290
1000,0.1,4,52,9988202799
1000,0.1,5,53,9980812347
1000,0.1,6,54,9987755373
1000,0.1,7,54,9990395365
1000,0.1,8,55,9978113969
1000,0.1,9,52,9980885277
1000,0.1,10,53,9992419388
1000,0.1,11,52,9997635765
1000,0.1,12,53,9999698064
1000,0.1,13,54,9981796561
1000,0.1,14,53,9996466502
1000,0.1,15,53,9993294247
1000,0.1,16,54,9979875295
1000,0.1,17,54,9995441785
1000,0.1,18,54,9997157842
1000,0.1,19,54,9995276112
1000,0.1,20,55,9989610635
1000,0.1,21,53,9998386898
1000,0.1,22,52,9993402079
1000,0.1,23,53,9992535900
1000,0.1,24,53,9972942294
1000,0.1,25,52,9993907892
1000,0.1,26,56,9991597118
1000,0.1,27,53,9986300266
1000,0.1,28,51,9999240813
1000,0.1,29,51,9991429069
1000,0.1,30,53,9980236088
1000,0.2,1,30,9969401083
1000,0.2,2,30,9998824052
1000,0.2,3,30,9980329792
1000,0.2,4,29,9975338591
1000,0.2,5,30,9985730616
1000,0.2,6,28,9976648656
1000,0.2,7,30,9985703766
1000,0.2,8,29,9971926108
1000,0.2,9,29,9966176097
1000,0.2,10,29,9995416003
1000,0.2,11,29,9984482626
1000,0.2,12,30,9982956793
1000,0.2,13,29,9980945043
1000,0.2,14,29,9983417167
1000,0.2,15,29,9974076629
1000,0.2,16,29,9984217007
1000,0.2,17,28,9981404032
1000,0.2,18,28,9970918169
1000,0.2,19,29,9972139289
1000,0.2,20,31,9992095942
1000,0.2,21,31,9986815369
1000,0.2,22,30,9991901753
1000,0.2,23,30,9997848710
1000,0.2,24,30,9997023130
1000,0.2,25,29,9983451078
1000,0.2,26,30,9998596817
1000,0.2,27,30,9997115703
1000,0.2,28,28,9998629652
1000,0.2,29,29,9970142374
1000,0.2,30,30,9990809623
1000,0.3,1,22,9984904597
1000,0.3,2,21,9978047208
1000,0.3,3,21,9968877838
1000,0.3,4,20,9993662359
1000,0.3,5,21,9979040571
1000,0.3,6,21,9984871907
1000,0.3,7,20,9981239676
1000,0.3,8,20,9978744843
1000,0.3,9,20,9996083045
1000,0.3,10,20,9985201350
1000,0.3,11,19,9995944532
1000,0.3,12,20,9981284239
1000,0.3,13,22,9978593279
1000,0.3,14,22,9995910854
1000,0.3,15,20,9964233031
1000,0.3,16,21,9978939373
1000,0.3,17,21,9968160863
1000,0.3,18,21,9951638871
1000,0.3,19,21,9999452369
1000,0.3,20,20,9998513145
1000,0.3,21,21,9995368290
1000,0.3,22,20,9991006909
1000,0.3,23,20,9999399004
1000,0.3,24,20,9966047793
1000,0.3,25,20,9991226579
1000,0.3,26,21,9996456492
1000,0.3,27,21,9982427824
1000,0.3,28,20,9984828895
1000,0.3,29,20,9992276695
1000,0.3,30,20,9978567893
1000,0.4,1,16,9984789416
1000,0.4,2,15,9994392855
1000,0.4,3,17,9981902990
1000,0.4,4,15,9992971027
1000,0.4,5,15,9958860268
1000,0.4,6,16,9956103962
1000,0.4,7,15,9969783255
1000,0.4,8,15,9992707931
1000,0.4,9,15,9986972171
1000,0.4,10,15,9979376399
1000,0.4,11,16,9986026115
1000,0.4,12,15,9986104741
1000,0.4,13,14,9985952311
1000,0.4,14,15,9970329133
1000,0.4,15,16,9982383130
1000,0.4,16,16,9983921140
1000,0.4,17,16,9969256579
1000,0.4,18,15,9985722530
1000,0.4,19,16,9977167979
1000,0.4,20,16,9953937249
1000,0.4,21,15,9997723888
1000,0.4,22,15,9986003738
1000,0.4,23,15,9998743492
1000,0.4,24,15,9978912435
1000,0.4,25,15,9969853825
1000,0.4,26,15,9991998952
1000,0.4,27,15,9987690608
1000,0.4,28,16,9986858282
1000,0.4,29,16,9988924912
1000,0.4,30,15,9952702026
1000,0.5,1,12,9993266517
1000,0.5,2,12,9956897601
1000,0.5,3,12,9923599226
1000,0.5,4,13,9995407620
1000,0.5,5,12,9983538116
1000,0.5,6,12,9917237712
1000,0.5,7,12,9968423791
1000,0.5,8,13,9989623505
1000,0.5,9,12,9987628747
1000,0.5,10,12,9991963810
1000,0.5,11,12,9957387449
1000,0.5,12,12,9990691849
1000,0.5,13,13,9998557800
1000,0.5,14,12,9993046617
1000,0.5,15,12,9960009590
1000,0.5,16,12,9992767536
1000,0.5,17,12,9994348891
1000,0.5,18,12,9982392117
1000,0.5,19,12,9972812590
1000,0.5,20,12,9985618202
1000,0.5,21,13,9938267144
1000,0.5,22,13,9994475047
1000,0.5,23,12,9962755534
1000,0.5,24,12,9951966689
1000,0.5,25,12,9991045027
1000,0.5,26,12,9980308612
1000,0.5,27,13,9964960334
1000,0.5,28,12,9996354436
1000,0.5,29,13,9989456457
1000,0.5,30,13,9944575499
1000,0.6,1,10,9970728696
1000,0.6,2,10,9953115957
1000,0.6,3,11,9945942819
1000,0.6,4,9,9996763023
1000,0.6,5,10,9965377638
1000,0.6,6,9,9958945234
